epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.71893,4.93284,8.0016,9.90333,3.00338,0,0,0,0,0,0,0,0,5.08336,8.75539,22.6379,2.91058,0,0,0
2,7.44453,5.31481,8.89118,13.3628,3.19048,0,0,0,0,0,0,0,0,5.12153,8.48393,17.8935,2.97851,1.9868e-05,1.9868e-05,1.9868e-05
3,11.2479,5.36164,8.56333,9.24485,3.1528,0,0,0,0,0,0,0,0,5.17182,7.78271,16.1988,3.01898,3.9472e-05,3.9472e-05,3.9472e-05
4,14.9692,5.49429,7.12433,7.64575,2.94057,0,0,0,0,0,0,0,0,5.18898,6.61676,21.879,2.98994,5.8812e-05,5.8812e-05,5.8812e-05
5,18.669,5.2386,6.25043,6.76735,2.77567,0,0,0,0,0,0,0,0,5.02528,5.75663,21.639,2.76578,7.7888e-05,7.7888e-05,7.7888e-05
6,22.5658,4.63274,5.62538,6.27235,2.42765,0,0,0,0,0,0,0,0,3.99402,5.68468,13.1186,2.18566,9.67e-05,9.67e-05,9.67e-05
7,26.2148,4.42094,5.40441,6.17434,2.29384,0.01975,0.01786,0.00742,0.00342,0.01975,0.01786,0.00645,0.00208,3.58415,5.66215,13.053,1.96657,0.000115248,0.000115248,0.000115248
8,30.1908,4.4025,5.08938,5.11329,1.94537,0.03253,0.02679,0.00827,0.0028,0.03253,0.02679,0.01038,0.00268,3.9261,6.25637,22.4271,1.82006,0.000133532,0.000133532,0.000133532
9,33.8293,4.36295,4.96246,4.52843,1.90824,0.03253,0.02679,0.00827,0.0028,0.03253,0.02679,0.01038,0.00268,3.9261,6.25637,22.4271,1.82006,0.000151552,0.000151552,0.000151552
10,37.5024,4.30133,5.04228,4.01972,1.81879,0.02783,0.03125,0.01353,0.00359,0.02793,0.04911,0.0173,0.0036,3.83192,6.80965,37.8511,1.57555,0.000169308,0.000169308,0.000169308
11,40.9552,4.1576,4.78267,4.19956,1.73836,0.02783,0.03125,0.01353,0.00359,0.02793,0.04911,0.0173,0.0036,3.83192,6.80965,37.8511,1.57555,0.0001868,0.0001868,0.0001868
12,44.2545,4.22738,4.80074,4.31864,1.78463,0.02408,0.05804,0.01589,0.00541,0.03562,0.02679,0.00919,0.00211,3.65255,6.57809,37.9429,1.45157,0.000204028,0.000204028,0.000204028
13,47.6392,3.86242,4.96074,3.44771,1.5101,0.02408,0.05804,0.01589,0.00541,0.03562,0.02679,0.00919,0.00211,3.65255,6.57809,37.9429,1.45157,0.000220992,0.000220992,0.000220992
14,51.1609,3.9584,5.06142,3.40434,1.58572,0.04025,0.04464,0.01628,0.00645,0.02533,0.05804,0.01318,0.00512,3.5097,6.24203,18.8281,1.40831,0.000237692,0.000237692,0.000237692
15,54.5553,3.59653,5.11064,2.99814,1.41414,0.04025,0.04464,0.01628,0.00645,0.02533,0.05804,0.01318,0.00512,3.5097,6.24203,18.8281,1.40831,0.000254128,0.000254128,0.000254128
16,57.8777,3.65513,4.84474,3.24148,1.4243,0.06814,0.0625,0.01975,0.00677,0.04867,0.04464,0.01535,0.00408,3.28568,6.01034,18.5937,1.34563,0.0002703,0.0002703,0.0002703
17,65.2822,3.71467,4.58649,3.09222,1.50178,0.06814,0.0625,0.01975,0.00677,0.04867,0.04464,0.01535,0.00408,3.28568,6.01034,18.5937,1.34563,0.000286208,0.000286208,0.000286208
